word,category,mean Happiness,mean Anger,mean Sadness,mean Fear,mean Disgust,distance to H,distance to A,distance to S,distance to F,distance to D,distance to N
"reklamować",U,2.2307692,3.4230769,2.1538463,2.2307692,3.5,7.0248895,6.3343754,7.476741,7.3791804,6.2157965,5.0760446
amulet,U,3.2692308,2.3076923,2.0769231,2.5769231,2.2307692,5.459421,7.040911,7.1770577,6.801806,7.0326543,4.7285395
"zarządzać",U,2.9230769,2.3846154,1.6153846,2.5,2.0769231,5.4944315,6.575744,7.12313,6.4409184,6.83473,4.099165
manowce,U,1.9615384,3.3461537,2.8461537,3.3076923,2.1923077,7.1993704,6.41603,6.863543,6.408488,7.4308996,5.103216
"oszałamiający",U,4.230769,1.6153846,1.2307693,1.9230769,1.4615384,3.661536,6.8447223,7.218565,6.642781,6.994591,4.029553
pensja,U,4.1153846,2.4615386,2.4230769,3.0769231,1.7692307,5.1749163,7.358459,7.3554735,6.822916,7.8522696,5.521269
katafalk,U,1.5,1.8461539,2.6923077,2.3846154,2.0384614,6.807854,6.728486,5.8394985,6.2474246,6.5475645,3.096194
nieporadny,U,1.2307693,3.9230769,3.3076923,2.1538463,2.7692308,8.006239,5.703313,6.3191,7.3600726,6.811864,5.0802374
hit,U,3.4230769,1.8076923,1.5384616,1.3461539,1.7692307,4.4946566,6.5603795,6.8886266,7.0028763,6.6479597,3.4413414
kreda,U,1.9230769,1.8076923,1.5769231,1.9230769,2.1923077,6.1661,6.539495,6.721951,6.3914013,5.999107,2.724943
cena,U,1.8076923,3.3846154,2.8846154,2.5769231,2.8461537,7.3025565,6.202056,6.759097,6.8655252,6.774213,4.8768973
lotos,U,3.6153846,1.2692307,1.5,1.2692307,1.2692307,3.8549795,6.8037367,6.57748,6.812007,6.8012443,3.0683835
"śpiewać",U,5.4615383,1.5384616,1.7307693,1.6153846,1.4230769,2.6502657,7.6128893,7.436073,7.5625815,7.7123966,5.0894775
holocaust,U,1.0,5.8846154,5.8076925,5.769231,5.923077,11.734792,8.957582,8.98093,9.032602,8.943208,9.926695
